,files,keys,en,vi,ms,th,ru,zh-Hans,ar,id
6,SKOR/Login/TTTS/LogInViewControllerTTTS.strings,"""wDU-RD-DoY.placeholder""","""Email or Username"";","""Email hoặc tên người dùng"";","""Email or Username"";","""อีเมล หรือ ชื่อผู้ใช้งาน"";","""Эл. почта или имя пользователя"";","""Email or Username"";",,"""Email or Username"";"
0,SKOR/AppreciationConfirmationViewController.strings,"""A08-dr-bJJ.text""","""You are allocating 20 Points to John Doe"";","""You are allocating 20 Points to John Doe"";","""You are allocating 20 Points to John Doe"";","""You are allocating 20 Points to John Doe"";","""Вы присваиваете 20 баллов Иванову И. И."";","""You are allocating 20 Points to John Doe"";",,"""You are allocating 20 Points to John Doe"";"
1,SKOR/AppreciationConfirmationViewController.strings,"""pRX-nz-ntT.text""","""I accept the Terms of service and Privacy Policy"";","""Tôi đồng ý với Điều khoản dịch vụ và Chính sách Bảo mật."";","""I accept the Terms of service and Privacy Policy"";","""ฉันยอมรับ เงื่อนไขการให้บริการ และนโยบายความเป็นส่วนตัว"";","""Я принимаю условия обслуживания и Политику конфиденциальности"";","""I accept the Terms of service and Privacy Policy"";",,"""I accept the Terms of service and Privacy Policy"";"
2,SKOR/AppreciationConfirmationViewController.strings,"""SLv-vx-MQ7.normalTitle""","""Ok"";","""ĐỒNG Ý"";","""Ok"";","""ตกลง"";","""Ok"";","""好"";",,"""Ok"";"
3,SKOR/AppreciationConfirmationViewController.strings,"""2Yd-iz-5s5.normalTitle""","""Cancel"";","""Hủy"";","""Cancel"";","""ยกเลิก"";","""Отмена"";","""取消"";",,"""Batal"";"
0,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""LTP-Mc-s5Q.placeholder""","""Full Name(as per NRIC)"";","""Full Name(as per NRIC)"";","""Full Name(as per NRIC)"";","""คุณวุฒิการศึกษาสูงสุด"";","""Ф. И. О. (как на карте NRIC)"""";","""姓名(as per NRIC)"";",,"""Full Name(as per NRIC)"";"
1,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""5bD-zB-ctM.text""","""Currently Pursuing"";","""Currently Pursuing"";","""Currently Pursuing"";","""กำลังดำเนินการ"";","""Currently Pursuing"";","""就读中"";",,"""Currently Pursuing"";"
2,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""kKD-t8-Rbs.text""","""Position"";","""Position"";","""Position"";","""ตำแหน่ง"";","""Position"";","""应聘职位"";",,"""Position"";"
3,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""Ba2-73-4MQ.text""","""Highest Academic Qualification"";","""Highest Academic Qualification"";","""Highest Academic Qualification"";","""คุณวุฒิการศึกษาสูงสุด"";","""Highest Academic Qualification"";","""最高普通学历"";",,"""Highest Academic Qualification"";"
4,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""J7S-0g-slu.text""","""* Only 3 attachments are allowed."";","""* Only 3 attachments are allowed."";","""* Only 3 attachments are allowed."";","""* อนุญาตให้มีไฟล์แนบ 3 ไฟล์เท่านั้น."";","""* Допускаются только 3 вложения."""";","""* 只允许3个附件."";",,"""* Only 3 attachments are allowed."";"
5,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""H3e-gH-9kw.text""",,,,"""Label"";","""SKOR/ReferalMainView/NutcReferalStoryboard.strings"";","""Label"";",,
6,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""oyY-OS-G9b.placeholder""","""Residential Address (Optional)"";","""Residential Address (Optional)"";","""Residential Address (Optional)"";","""ที่อยู่อาศัย (ไม่บังคับ)"";","""Адрес проживания (необязательно)"""";","""住址 (可选字段)"";",,"""Residential Address (Optional)"";"
7,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""S8b-Ls-B78.text""","""Highest ECCE Qualification"";","""Highest ECCE Qualification"";","""Highest ECCE Qualification"";","""การรับรอง ECCE สูงสุด"";","""Highest ECCE Qualification"";","""幼教专业学历"";",,"""Highest ECCE Qualification"";"
8,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""3dw-aX-wiP.normalTitle""","""SUBMIT"";","""SUBMIT"";","""SUBMIT"";","""ส่ง"";","""SUBMIT"";","""提交"";",,"""SUBMIT"";"
9,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""Q1X-7O-XbN.text""","""Staff Referral"";","""Staff Referral"";","""Staff Referral"";","""เจ้าหน้าที่แนะนำผลิตภัณฑ์"";","""Реферал сотрудника"""";","""员工推荐"";",,"""Staff Referral"";"
10,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""PfS-i6-DLd.text""","""Label"";","""Label"";","""Label"";",,"""Метка"""";",,,"""Label"";"
11,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""YQ5-rN-fG4.text""","""Citizenship"";","""Citizenship"";","""Citizenship"";","""สัญชาติ"";","""Citizenship"";","""国籍"";",,"""Citizenship"";"
12,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""vQy-GO-aCh.placeholder""","""Email (Optional)"";","""Email (Optional)"";","""Email (Optional)"";","""อีเมล (ไม่บังคับ)"";","""Эл. почта (необязательно)"""";","""电邮地址 (可选字段)"";",,"""Email (Optional)"";"
13,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""bJ6-BS-Vqm.placeholder""","""Contact Number"";","""Contact Number"";","""Contact Number"";","""เบอร์ติดต่อ"";","""Name of the Candidate"";","""联络号码"";",,"""Contact Number"";"
14,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""8YU-3G-Pak.normalTitle""","""Upload Resume"";","""Upload Resume"";","""Upload Resume"";","""อัพโหลดประวัติ"";","""Загрузить резюме"""";","""上传简历"";",,"""Upload Resume"";"
15,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""60N-fG-GZ2.text""","""(Enter candidate's details)"";","""(Enter candidate's details)"";","""(Enter candidate's details)"";","""(กรอกรายละเอียดของผู้สมัคร)"";","""(введите данные кандидата)"""";","""(输入候选人的详细信息)"";",,"""(Enter candidate's details)"";"
0,SKOR/New Dashboard/Section provider/Pushnotification.strings,"""T4a-fy-Hqx.normalTitle""","""OK"";","""ĐỒNG Ý"";","""OK"";","""ตกลง"";","""OK"";","""好"";",,"""OK"";"
0,SKOR/Receipt/TrendSetter Receipt/TrendReceiptsDetail/ReceiptStatusView/ReceiptStatusTableViewCell.strings,"""7gv-uL-hEm.text""","""Claim Number"";",,,,"""Номер запроса"";",,,
1,SKOR/Receipt/TrendSetter Receipt/TrendReceiptsDetail/ReceiptStatusView/ReceiptStatusTableViewCell.strings,"""X1c-of-9P6.normalTitle""","""Info Requested"";",,,,"""Информация запрошена"";",,,
2,SKOR/Receipt/TrendSetter Receipt/TrendReceiptsDetail/ReceiptStatusView/ReceiptStatusTableViewCell.strings,"""Noy-oU-moH.text""","""Label"";",,,,"""Label"";",,,
0,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""JS8-9U-yJ5.text""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""Người liên hệ cho sự kiện"";","""Contact Person for the Event"";","""ผู้ติดต่อสำหรับงานอีเว้นท์"";","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""联络人"";","""Contact Person for the Event"";","""Contact Person for the Event"";"
1,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""YHM-1R-HuX.normalTitle""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""ATTENDING"";","""ATTENDING"";","""การเข้าร่วม"";","""УЧАСТВУЮЩИЕ"";","""会参与"";","""ATTENDING"";","""hadir"";"
2,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""PVc-uN-dQ8.text""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""EVENT TIMINGS"";","""EVENT TIMINGS"";","""ระยะเวลาของอีเวนท์"";","""С КОГО СВЯЗАТЬСЯ ПО СОБЫТИЮ"";","""活动时序"";","""EVENT TIMINGS"";","""Waktu Acara"";"
3,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""QIi-rg-Fp1.text""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""EMAIL"";","""EMAIL"";","""อีเมล์"";","""ЭЛ. АДРЕС"";","""电子邮件"";","""EMAIL"";","""E-mel"";"
4,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""EZB-fC-d8g.normalTitle""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""Read More.."";","""Read More.."";","""อ่านเพิ่มเติม."";","""Подробнее.."";","""阅读更多..."";","""Read More.."";","""Baca Lebih Lanjut.."";"
5,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""mib-Hm-iTd.normalTitle""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""Read More"";","""Read More"";","""อ่านเพิ่มเติม"";","""Подробнее.."";","""阅读更多"";","""Read More"";","""Baca Lebih Lanjut"";"
6,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""c4O-q3-Ge5.text""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""Description"";","""Description"";","""คำอธิบาย"";","""ОПИСАНИЕ"";","""描述"";","""Description"";","""Deskripsi"";"
7,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""aZC-Qb-Ejg.text""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""ĐIỆN THOẠI"";","""PHONE"";","""โทรศัพท์"";","""ТЕЛЕФОН"";","""电话"";","""PHONE"";","""TELEFON"";"
8,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""BY9-he-yBL.normalTitle""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""THÊM ẢNH"";","""ADD PHOTO"";","""เพิ่มรูปภาพ"";","""ДОБАВИТЬ ФОТО"";","""上载照片"";","""ADD PHOTO"";","""LAMPIRKAN FOTO"";"
9,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""dFA-oQ-0hX.text""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""Điểm sự kiện"";","""EVENT Points"";","""คะแนนงานอีเว้นท์"";","""СОБЫТИЕ Очки"";","""活动点"";","""EVENT Points"";","""Mata Acara"";"
10,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""4s0-gj-IZN.normalTitle""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""See All"";","""See All"";","""ดูรูปภาพทั้งหมด"";","""Увидеть все"";","""查看全部"";","""See All"";","""LIHAT SEMUA"";"
11,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""dsS-WU-r0G.text""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""Địa điểm tổ chức sự kiện"";","""Event Venue"";","""สถานที่จัดงาน"";","""АДРЕС"";","""地址"";","""Event Venue"";","""Tempat Acara"";"
12,SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings,"""FZT-af-iTe.text""","""SKOR/EventDetailTableView/EventDetailTableViewStoryboard.strings"";","""Ảnh"";","""Photo"";","""รูปภาพทั้งหมด"";","""ФОТО"";","""照片"";","""Photo"";","""Foto"";"
0,SKOR/New Dashboard/Dasboard Table Custom Cells/HorizontalCollectionTableViewCell.strings,"""PuV-lp-7dZ.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
1,SKOR/New Dashboard/Dasboard Table Custom Cells/HorizontalCollectionTableViewCell.strings,"""4Ye-Mw-FbH.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
2,SKOR/New Dashboard/Dasboard Table Custom Cells/HorizontalCollectionTableViewCell.strings,"""eRz-wZ-Sel.normalTitle""","""View All"";","""Xem tất cả"";","""View All"";","""ดูทั้งหมด"";","""Посмотреть все"";","""View All"";",,"""LIHAT SEMUA"";"
0,SKOR/AppreciateStregthCollectionViewCell.strings,"""aeL-mb-v69.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
0,SKOR/Receipt/Receipt Detail/LedvanceReceipts/Cells/ReceiptsItemsTableViewCell.strings,"""Ji0-1Q-jRA.text""","""Qty : 5"";","""Qty : 5"";","""Qty : 5"";","""Qty : 5"";","""Qty : 5"";","""Qty : 5"";","""Qty : 5"";","""Qty : 5"";"
1,SKOR/Receipt/Receipt Detail/LedvanceReceipts/Cells/ReceiptsItemsTableViewCell.strings,"""o2S-Cq-moq.text""","""LED Spot Non Dim"";","""LED Spot Non Dim"";","""LED Spot Non Dim"";","""LED Spot Non Dim"";","""LED Spot Non Dim"";","""LED Spot Non Dim"";","""LED Spot Non Dim"";","""LED Spot Non Dim"";"
2,SKOR/Receipt/Receipt Detail/LedvanceReceipts/Cells/ReceiptsItemsTableViewCell.strings,"""VWD-y2-f9O.text""","""Osram LED LampsOsram LED Lamps"";","""Osram LED LampsOsram LED Lamps"";","""Osram LED LampsOsram LED Lamps"";","""Osram LED LampsOsram LED Lamps"";","""Osram LED LampsOsram LED Lamps"";","""Osram LED LampsOsram LED Lamps"";","""Osram LED LampsOsram LED Lamps"";","""Osram LED LampsOsram LED Lamps"";"
3,SKOR/Receipt/Receipt Detail/LedvanceReceipts/Cells/ReceiptsItemsTableViewCell.strings,"""oW2-XC-xq6.text""","""$236"";","""$236"";","""$236"";","""$236"";","""$236"";","""$236"";","""$236"";","""$236"";"
0,SKOR/Login/LogInViewControllerCerraSG.strings,"""HEc-v3-aMb.placeholder""","""Password"";","""Password"";","""Password"";","""Password"";","""Password"";","""Password"";",,"""Kata Laluan "";"
1,SKOR/Login/LogInViewControllerCerraSG.strings,"""Zrr-ot-gaa.text""","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""Версия: 1.0"";","""Version:1.0"";",,"""Version:1.0"";"
2,SKOR/Login/LogInViewControllerCerraSG.strings,"""1SV-BZ-sQx.normalTitle""","""Forgot Password"";","""Forgot Password"";","""Forgot Password"";","""Forgot Password"";","""Забыли пароль?"";","""Forgot Password"";",,"""Lupa Kata Laluan"";"
3,SKOR/Login/LogInViewControllerCerraSG.strings,"""BtW-RI-F0j.normalTitle""","""Location >"";","""Location >"";","""Location >"";","""Location >"";","""Местоположение >"";","""Location >"";",,"""Location >"";"
4,SKOR/Login/LogInViewControllerCerraSG.strings,"""KfV-me-zMJ.normalTitle""","""Login"";","""Login"";","""Login"";","""Login"";","""Логин"";","""Login"";",,"""Log Masuk"";"
5,SKOR/Login/LogInViewControllerCerraSG.strings,"""RsR-wR-d4i.text""","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""Я принимаю условия обслуживания и Политику конфиденциальности"";","""I accept the Terms of service and Privacy Policy"";",,"""I accept the Terms of service and Privacy Policy"";"
6,SKOR/Login/LogInViewControllerCerraSG.strings,"""wDU-RD-DoY.placeholder""","""Email or Username"";","""Email or Username"";","""Email or Username"";","""Email or Username"";","""Эл. почта или имя пользователя"";","""Email or Username"";",,"""Emel atau Nama Pengguna"";"
0,SKOR/Calendar/Custom Cell/EventsForCalendarTableViewCell.strings,"""0mI-oD-Cec.text""","""sdbfsdfihdisfh"";","""sdbfsdfihdisfh"";","""sdbfsdfihdisfh"";","""sdbfsdfihdisfh"";","""sdbfsdfihdisfh"";","""sdbfsdfihdisfh"";","""sdbfsdfihdisfh"";","""sdbfsdfihdisfh"";"
1,SKOR/Calendar/Custom Cell/EventsForCalendarTableViewCell.strings,"""JfC-aY-9SO.text""","""SDFDFDS"";","""SDFDFDS"";","""SDFDFDS"";","""SDFDFDS"";","""SDFDFDS"";","""SDFDFDS"";","""SDFDFDS"";","""SDFDFDS"";"
2,SKOR/Calendar/Custom Cell/EventsForCalendarTableViewCell.strings,"""6Xa-Qg-ivL.text""","""dlflsdfldsflj"";","""dlflsdfldsflj"";","""dlflsdfldsflj"";","""dlflsdfldsflj"";","""dlflsdfldsflj"";","""dlflsdfldsflj"";","""dlflsdfldsflj"";","""dlflsdfldsflj"";"
3,SKOR/Calendar/Custom Cell/EventsForCalendarTableViewCell.strings,"""Ov7-Nh-NvA.text""","""ERWEREW"";","""ERWEREW"";","""ERWEREW"";","""ERWEREW"";","""ERWEREW"";","""ERWEREW"";","""ERWEREW"";","""ERWEREW"";"
4,SKOR/Calendar/Custom Cell/EventsForCalendarTableViewCell.strings,"""cd2-aM-4kc.text""","""lkwehwhhewhrohe"";","""lkwehwhhewhrohe"";","""lkwehwhhewhrohe"";","""lkwehwhhewhrohe"";","""lkwehwhhewhrohe"";","""lkwehwhhewhrohe"";","""lkwehwhhewhrohe"";","""lkwehwhhewhrohe"";"
0,SKOR/Presentation Layer/Rewards/RewardList/RewardListViewController.strings,"""ChU-jO-Lxk.text""","""Search Results"";","""KẾT QUẢ TÌM KIẾM"";","""Search Results"";","""ผลการค้นหา"";","""РЕЗУЛЬТАТЫ ПОИСКА"";","""搜索结果"";","""Search Results"";","""Hasil Carian"";"
1,SKOR/Presentation Layer/Rewards/RewardList/RewardListViewController.strings,"""mIX-TV-FRP.placeholder""","""   Search"";","""    Tìm kiếm"";","""   Search"";","""ค้นหา"";","""   Поиск"";","""   搜索"";","""   Search"";","""   Cari"";"
0,SKOR/Forget Password/ForgotPasswordViewControllerMurata.strings,"""VfU-T3-piQ.text""","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Arahan semula telah dihantar ke alamat e-mel anda"";"
1,SKOR/Forget Password/ForgotPasswordViewControllerMurata.strings,"""tMY-VW-H1F.placeholder""","""Email Address"";","""Địa chỉ email"";","""Email Address"";","""Email Address"";","""Адрес эл. почты"""";","""请输入电子邮件"";","""Email Address"";","""E-mel"";"
2,SKOR/Forget Password/ForgotPasswordViewControllerMurata.strings,"""EpR-rz-7Qg.text""","""Forgot your password?"";","""Quên mật khẩu của bạn?"";","""Forgot your password?"";","""Forgot your password?"";","""Forgot your password?"";","""Forgot your password?"";","""Forgot your password?"";","""Lupa kata laluan anda?"";"
3,SKOR/Forget Password/ForgotPasswordViewControllerMurata.strings,"""DpS-fr-fH4.normalTitle""","""SUBMIT"";","""SUBMIT"";","""SUBMIT"";","""SUBMIT"";","""Submit"";","""SUBMIT"";","""SUBMIT"";","""Kirim"";"
4,SKOR/Forget Password/ForgotPasswordViewControllerMurata.strings,"""mfI-8M-hdb.text""","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""Masukkan e-mel anda di bawah dan kami akan menghantar arahan mengenai cara menukar kata laluan anda."";"
0,SKOR/Presentation Layer/Calendar/Event Detail/Custom Cells/EventAllowedActionCell/EventAllowedActionCell.strings,"""lTQ-D5-3Hc.normalTitle""","""ATTENDING"";","""ĐANG THAM DỰ"";","""ATTENDING"";","""เรียน"";","""УЧАСТВУЮЩИЕ"";","""ATTENDING"";",,"""hadir"";"
0,SKOR/Presentation Layer/Rewards/RewardRedeemCell/RewardEvoucherCopyTableViewCell.strings,"""7gv-2j-cHT.normalTitle""","""Copy"";","""Copy"";","""Copy"";","""คัดลอก"";","""Копировать"""";","""Copy"";",,"""Copy"";"
0,SKOR/New Appreciation flow/Recognition Heroes/Custom Cells/Recognition Category/RecognitionCategoryCollectionViewCell.strings,"""QNH-Wp-zTd.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
0,SKOR/ChangePassView/ChangePassword.strings,"""S7g-zI-Qq8.placeholder""","""Old Password"";","""Old Password"";","""Old Password"";","""รหัสผ่านเก่า"";","""Старый пароль"";","""旧密码"";","""Old Password"";","""Kata Laluan Lama"";"
1,SKOR/ChangePassView/ChangePassword.strings,"""1bf-ov-Uu2.text""","""CHANGE PASSWORD"";","""CHANGE PASSWORD"";","""CHANGE PASSWORD"";","""เปลี่ยนรหัสผ่าน"";","""ИЗМЕНИТЬ ПАРОЛЬ"";","""更改密码"";","""CHANGE PASSWORD"";","""Tukar Kata Laluan"";"
2,SKOR/ChangePassView/ChangePassword.strings,"""AcR-cF-Acc.text""","""Your password must contain a mixture of letters & numbers."";","""Your password must contain a mixture of letters & numbers."";","""Your password must contain a mixture of letters & numbers."";","""รหัสผ่านของคุณต้องประกอบด้วยตัวอักษรและตัวเลขผสมกัน"";","""Пароль должен содержать и буквенные, и цифровые символы."";","""Your password must contain a mixture of letters & numbers."";","""Your password must contain a mixture of letters & numbers."";","""Your password must contain a mixture of letters & numbers."";"
3,SKOR/ChangePassView/ChangePassword.strings,"""ecP-ae-gfS.placeholder""","""New Password"";","""New Password"";","""New Password"";","""รหัสผ่านใหม่"";","""Новый пароль"";","""新密码"";","""New Password"";","""Kata Laluan Baru"";"
4,SKOR/ChangePassView/ChangePassword.strings,"""mnK-nW-nRs.normalTitle""","""SAVE PASSWORD"";","""SAVE PASSWORD"";","""SAVE PASSWORD"";","""บันทึกรหัสผ่าน"";","""СОХРАНИТЬ ПАРОЛЬ"";","""保存密码"";","""SAVE PASSWORD"";","""Semak Kata Laluan"";"
5,SKOR/ChangePassView/ChangePassword.strings,"""Kqr-sp-OUU.placeholder""","""Email"";","""Email"";","""Email"";","""อีเมล์"";","""Эл. адрес"";","""电子邮件"";","""Email"";","""E-mel"";"
6,SKOR/ChangePassView/ChangePassword.strings,"""Agn-1z-Q3H.placeholder""","""Confirm Password"";","""Confirm Password"";","""Confirm Password"";","""ยืนยันรหัสผ่าน"";","""Подтвердите пароль"";","""确认密码"";","""Confirm Password"";","""Pastikan kata laluan"";"
0,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/Colllection View Custom Cell/CommonHorizontalCollectionViewCell.strings,"""mvU-uw-6tM.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
0,SKOR/Rewards View/RewardsViewControllerCerraSG.strings,"""Azx-BL-lRA.text""","""You have earned 0 Rewards to redeem"";","""Bạn đã nhận được 0 Phần thưởng để đổi"";","""You have earned 0 Rewards to redeem"";","""คุณได้รับ 0 รางวัลเพื่อแลก"";","""Вы заработали 0 вознаграждений для обмена"";","""You have earned 0 Rewards to redeem"";",,"""You have earned 0 Rewards to redeem"";"
1,SKOR/Rewards View/RewardsViewControllerCerraSG.strings,"""D6d-v3-Ot1.placeholder""","""   Search"";","""    Tìm kiếm"";","""   Search"";","""ค้นหา"";","""   Поиск"";","""   搜索"";",,"""   Cari"";"
2,SKOR/Rewards View/RewardsViewControllerCerraSG.strings,"""qQe-q8-36e.text""","""Search Results"";","""KẾT QUẢ TÌM KIẾM"";","""Search Results"";","""ผลการค้นหา"";","""РЕЗУЛЬТАТЫ ПОИСКА"";","""搜索结果"";",,"""Hasil carian"";"
0,SKOR/Announcement Detail/AnnouncementDetailViewController.strings,"""Rlv-Y0-zHW.normalTitle""","""Send your wishes"";","""Gửi lời chúc của bạn"";","""Send your wishes"";","""ส่งความปรารถนาของคุณ"";","""Отправьте свои пожелания"";","""发送您的愿望"";","""Send your wishes"";","""Hantar Salam Anda"";"
1,SKOR/Announcement Detail/AnnouncementDetailViewController.strings,"""JuK-wk-H1w.text""","""tes email"";","""tes email"";","""tes email"";","""tes email"";","""tes email"";","""tes email"";","""tes email"";","""tes email"";"
2,SKOR/Announcement Detail/AnnouncementDetailViewController.strings,"""Uv2-6O-9db.text""","""test title"";","""test title"";","""test title"";","""test title"";","""test title"";","""test title"";","""test title"";","""test title"";"
0,SKOR/Login/TrendSetter/LogInViewControllertrendSetter.strings,"""HEc-v3-aMb.placeholder""","""Password"";",,,,"""Пароль"";",,,
1,SKOR/Login/TrendSetter/LogInViewControllertrendSetter.strings,"""Zrr-ot-gaa.text""","""Version:1.0"";",,,,"""Версия: 1.0"";",,,
2,SKOR/Login/TrendSetter/LogInViewControllertrendSetter.strings,"""1SV-BZ-sQx.normalTitle""","""Forgot Password?"";",,,,"""Забыли пароль?"";",,,
3,SKOR/Login/TrendSetter/LogInViewControllertrendSetter.strings,"""BtW-RI-F0j.normalTitle""","""Location >"";",,,,"""Местоположение >"";",,,
4,SKOR/Login/TrendSetter/LogInViewControllertrendSetter.strings,"""KfV-me-zMJ.normalTitle""","""Login"";",,,,"""Логин"";",,,
5,SKOR/Login/TrendSetter/LogInViewControllertrendSetter.strings,"""RsR-wR-d4i.text""","""I accept the Terms of service and Privacy Policy"";",,,,"""Я принимаю условия обслуживания и Политику конфиденциальности"";",,,
6,SKOR/Login/TrendSetter/LogInViewControllertrendSetter.strings,"""wDU-RD-DoY.placeholder""","""Email or Username"";",,,,"""Эл. почта или имя пользователя"";",,,
0,SKOR/Receipt/Receipt Detail/LedvanceReceipts/Cells/ReceiptsNotesTableViewCell.strings,"""hfJ-eC-26M.text""","""Notes"";","""Notes"";","""Notes"";","""Notes"";","""Примечания"";","""Notes"";","""Notes"";","""Notes"";"
0,SKOR/Forget Password/ForgotPasswordViewControllerThuraya.strings,"""VfU-T3-piQ.text""","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Инструкции по сбросу были отправлены на ваш адрес электронной почты"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";"
1,SKOR/Forget Password/ForgotPasswordViewControllerThuraya.strings,"""tMY-VW-H1F.placeholder""","""Email Address"";","""Địa chỉ email"";","""Email Address"";","""Email Address"";","""Адрес электронной почты"";","""Email Address"";","""Email Address"";","""Email Address"";"
2,SKOR/Forget Password/ForgotPasswordViewControllerThuraya.strings,"""EpR-rz-7Qg.text""","""Forgot your password?"";","""Quên mật khẩu của bạn?"";","""Forgot your password?"";","""Forgot your password?"";","""Забыли свой пароль?"";","""Forgot your password?"";","""Forgot your password?"";","""Forgot your password?"";"
3,SKOR/Forget Password/ForgotPasswordViewControllerThuraya.strings,"""bi2-bT-6dR.text""","""SKOR/Forget Password/ForgotPasswordViewControllerThuraya.strings"";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""SKOR/Forget Password/ForgotPasswordViewControllerThuraya.strings"";","""Введите свой адрес электронной почты ниже, и мы отправим вам инструкции по изменению пароля."";","""SKOR/Forget Password/ForgotPasswordViewControllerThuraya.strings"";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";"
4,SKOR/Forget Password/ForgotPasswordViewControllerThuraya.strings,"""vOr-Oi-S9N.normalTitle""","""SKOR/Forget Password/ForgotPasswordViewControllerThuraya.strings"";","""SUBMIT"";","""SUBMIT"";","""SKOR/Forget Password/ForgotPasswordViewControllerThuraya.strings"";","""РАЗМЕСТИТЬ"";","""SKOR/Forget Password/ForgotPasswordViewControllerThuraya.strings"";","""SUBMIT"";","""SUBMIT"";"
5,SKOR/Forget Password/ForgotPasswordViewControllerThuraya.strings,"""DpS-fr-fH4.normalTitle""","""Submit"";","""Submit"";","""Submit"";","""Submit"";","""РАЗМЕСТИТЬ"";","""Submit"";","""Submit"";","""Submit"";"
